2026-02-01 13:39:13,844 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:13] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-02-01 13:39:13,854 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /favicon.ico ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:13,862 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:13,873 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:13] "GET /favicon.ico HTTP/1.1" 200 -
2026-02-01 13:39:13,923 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:13] "GET /api/decks HTTP/1.1" 200 -
2026-02-01 13:39:13,936 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:13,945 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:13] "GET /api/decks HTTP/1.1" 200 -
2026-02-01 13:39:13,960 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:13,968 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:13] "GET /api/decks HTTP/1.1" 200 -
2026-02-01 13:39:13,983 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:13,983 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:13,993 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:13] "GET /api/decks HTTP/1.1" 200 -
2026-02-01 13:39:13,994 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:13] "GET /api/decks HTTP/1.1" 200 -
2026-02-01 13:39:14,378 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdowns/ids ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
